epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1026.49,1.36504,1.09407,1.46177,0.81899,0.77778,0.88318,0.45623,1.50774,1.01956,1.57828,0.000840286,0.000840286,0.000840286
43,1050.04,1.37289,1.05078,1.44194,0.80891,0.82155,0.88561,0.44622,1.55248,1.00459,1.59026,0.000812,0.000812,0.000812
44,1073.97,1.32827,1.07009,1.40717,0.75163,0.83838,0.84987,0.4543,1.45544,1.00829,1.54531,0.000783714,0.000783714,0.000783714
45,1098.1,1.33405,1.03504,1.4143,0.75537,0.83165,0.85788,0.42933,1.54064,1.03176,1.60224,0.000755429,0.000755429,0.000755429
46,1121.59,1.30904,1.0202,1.40609,0.77014,0.83838,0.87516,0.46612,1.54737,1.0051,1.59186,0.000727143,0.000727143,0.000727143
47,1147.25,1.33083,1.03386,1.41533,0.83415,0.82979,0.86345,0.44704,1.54164,1.00418,1.60969,0.000698857,0.000698857,0.000698857
48,1170.41,1.31918,1.03213,1.40345,0.84665,0.83502,0.89869,0.45853,1.54349,1.03755,1.60525,0.000670571,0.000670571,0.000670571
49,1194.22,1.30916,1.00265,1.3978,0.79431,0.84517,0.87461,0.45562,1.56528,0.98351,1.63624,0.000642286,0.000642286,0.000642286
50,1219.27,1.27466,0.96871,1.37773,0.83931,0.83165,0.89724,0.46089,1.56196,0.98135,1.62405,0.000614,0.000614,0.000614
51,1242.39,1.29163,0.9781,1.37156,0.82018,0.85522,0.90594,0.46412,1.56398,0.97141,1.62349,0.000585714,0.000585714,0.000585714
52,1268.54,1.30779,1.0015,1.39623,0.75653,0.84744,0.86577,0.45551,1.54625,0.99982,1.62418,0.000557429,0.000557429,0.000557429
53,1292.3,1.29563,0.94663,1.38443,0.80755,0.83357,0.88095,0.45242,1.54749,0.94899,1.63432,0.000529143,0.000529143,0.000529143
54,1316.34,1.27536,0.94769,1.40152,0.83204,0.84848,0.90313,0.46803,1.54413,0.96285,1.61101,0.000500857,0.000500857,0.000500857
55,1341.81,1.25263,0.94425,1.37722,0.81502,0.84561,0.89501,0.45689,1.56395,0.98018,1.65916,0.000472571,0.000472571,0.000472571
56,1365.64,1.24817,0.91822,1.347,0.81314,0.82051,0.8896,0.46129,1.584,0.97595,1.64975,0.000444286,0.000444286,0.000444286
57,1390.71,1.21071,0.90868,1.34734,0.84182,0.83165,0.90452,0.47885,1.5313,0.93877,1.61222,0.000416,0.000416,0.000416
58,1415.18,1.21603,0.9123,1.36963,0.86506,0.79798,0.90583,0.44777,1.60221,0.91744,1.65533,0.000387714,0.000387714,0.000387714
59,1438.8,1.19465,0.89928,1.34589,0.85021,0.79125,0.89892,0.45698,1.57408,0.93764,1.63854,0.000359429,0.000359429,0.000359429
60,1464.23,1.17754,0.90348,1.33367,0.81512,0.83131,0.88541,0.45358,1.59604,0.96694,1.67969,0.000331143,0.000331143,0.000331143
61,1490.01,1.17646,0.83505,1.36345,0.79469,0.83411,0.86632,0.45187,1.53903,0.94625,1.63185,0.000302857,0.000302857,0.000302857
62,1513.67,1.15329,0.7977,1.36848,0.86259,0.82431,0.89939,0.4652,1.56684,0.96099,1.65517,0.000274571,0.000274571,0.000274571
63,1537.05,1.14564,0.75645,1.34032,0.83664,0.84493,0.90659,0.44898,1.59416,0.93804,1.67071,0.000246286,0.000246286,0.000246286
64,1560.77,1.14322,0.76195,1.34055,0.80131,0.84189,0.87973,0.4402,1.56516,0.94541,1.64462,0.000218,0.000218,0.000218
65,1584.79,1.11739,0.7332,1.32419,0.84101,0.82828,0.90601,0.46844,1.57474,0.92237,1.67088,0.000189714,0.000189714,0.000189714
66,1608.3,1.11685,0.71216,1.3248,0.84393,0.85185,0.89095,0.45994,1.60992,0.88891,1.71274,0.000161429,0.000161429,0.000161429
67,1632.87,1.07674,0.69699,1.30307,0.82065,0.81654,0.88908,0.45822,1.5897,0.91607,1.68419,0.000133143,0.000133143,0.000133143
68,1656.84,1.08929,0.68931,1.30786,0.82993,0.86869,0.90444,0.46045,1.60277,0.89756,1.68601,0.000104857,0.000104857,0.000104857
69,1680.25,1.05798,0.67071,1.28691,0.84356,0.84175,0.89823,0.46123,1.59037,0.90114,1.68957,7.65714e-05,7.65714e-05,7.65714e-05
70,1704.16,1.06935,0.67603,1.29066,0.80088,0.88552,0.90005,0.45751,1.60768,0.89284,1.69749,4.82857e-05,4.82857e-05,4.82857e-05
