epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1069.17,1.37181,1.05564,1.47133,0.80406,0.81145,0.88185,0.46507,1.48912,1.03141,1.60654,0.000812,0.000812,0.000812
44,1097.11,1.35471,1.07737,1.46629,0.76586,0.79298,0.86154,0.44406,1.51757,1.00919,1.6242,0.000783714,0.000783714,0.000783714
45,1121.31,1.34842,1.05122,1.4595,0.78669,0.77441,0.86083,0.44134,1.56999,1.03859,1.67505,0.000755429,0.000755429,0.000755429
46,1144.14,1.33215,1.01566,1.44499,0.81067,0.82174,0.87331,0.45481,1.54263,1.00024,1.64633,0.000727143,0.000727143,0.000727143
47,1167.6,1.33904,1.03493,1.44786,0.82015,0.84512,0.88287,0.46586,1.55061,0.99919,1.64456,0.000698857,0.000698857,0.000698857
48,1192.49,1.32564,1.04444,1.43661,0.85295,0.82028,0.89164,0.46695,1.4949,1.02663,1.62588,0.000670571,0.000670571,0.000670571
49,1216.83,1.31214,1.00085,1.41929,0.84809,0.83502,0.8941,0.45814,1.57802,0.96068,1.66603,0.000642286,0.000642286,0.000642286
50,1240.22,1.2838,0.97939,1.41098,0.78787,0.83838,0.88231,0.45427,1.55544,0.95244,1.65715,0.000614,0.000614,0.000614
51,1263.51,1.30679,0.99583,1.41616,0.83607,0.78995,0.87519,0.45143,1.5003,1.00807,1.63029,0.000585714,0.000585714,0.000585714
52,1286.85,1.30003,0.99931,1.4277,0.79556,0.81236,0.86629,0.45649,1.53503,1.00039,1.66484,0.000557429,0.000557429,0.000557429
53,1310.62,1.31061,0.96276,1.424,0.80028,0.80808,0.87927,0.46398,1.5642,0.97106,1.69726,0.000529143,0.000529143,0.000529143
54,1334.42,1.25311,0.96237,1.41941,0.81585,0.84175,0.8905,0.46194,1.56486,0.93759,1.6808,0.000500857,0.000500857,0.000500857
55,1358.59,1.24433,0.9464,1.39856,0.84494,0.82564,0.89971,0.43911,1.58476,0.95945,1.71122,0.000472571,0.000472571,0.000472571
56,1382.07,1.271,0.9271,1.38408,0.8052,0.85185,0.88587,0.44195,1.57738,0.95487,1.69498,0.000444286,0.000444286,0.000444286
57,1405.94,1.21422,0.92144,1.37953,0.8252,0.84848,0.89191,0.46644,1.53172,0.94091,1.65896,0.000416,0.000416,0.000416
58,1430.05,1.20815,0.93821,1.39028,0.82563,0.86088,0.90944,0.44667,1.60684,0.90609,1.69399,0.000387714,0.000387714,0.000387714
59,1453.33,1.21654,0.89876,1.39116,0.87009,0.83437,0.90119,0.45556,1.6333,0.92645,1.74364,0.000359429,0.000359429,0.000359429
60,1477.19,1.20025,0.89619,1.37143,0.77655,0.83078,0.87161,0.46265,1.59436,0.97044,1.73877,0.000331143,0.000331143,0.000331143
61,1502.67,1.20412,0.82592,1.42131,0.79634,0.80308,0.86891,0.4494,1.52213,0.95696,1.65641,0.000302857,0.000302857,0.000302857
62,1526.39,1.15604,0.79289,1.41122,0.80899,0.81282,0.86781,0.44634,1.54926,0.9666,1.68111,0.000274571,0.000274571,0.000274571
63,1550.09,1.14817,0.76083,1.35587,0.7777,0.86532,0.88116,0.46259,1.54916,0.95445,1.65951,0.000246286,0.000246286,0.000246286
64,1573.53,1.15863,0.76819,1.37465,0.82663,0.83481,0.89013,0.45291,1.56671,0.92809,1.66913,0.000218,0.000218,0.000218
65,1597.23,1.12719,0.73855,1.3548,0.76818,0.84795,0.85936,0.45239,1.57312,0.98369,1.69334,0.000189714,0.000189714,0.000189714
66,1620.53,1.11161,0.72842,1.34552,0.81495,0.79461,0.86776,0.46138,1.61621,0.91624,1.73755,0.000161429,0.000161429,0.000161429
67,1644.06,1.0891,0.69929,1.33505,0.82679,0.81145,0.87559,0.45713,1.60749,0.90759,1.7391,0.000133143,0.000133143,0.000133143
68,1668.21,1.09814,0.69479,1.3362,0.79818,0.82562,0.87305,0.45271,1.63889,0.91207,1.77635,0.000104857,0.000104857,0.000104857
69,1691.65,1.069,0.65317,1.31616,0.81087,0.82285,0.87442,0.44553,1.64556,0.91572,1.78673,7.65714e-05,7.65714e-05,7.65714e-05
70,1715.36,1.08137,0.6711,1.33131,0.82571,0.81818,0.87415,0.44387,1.64634,0.91582,1.79232,4.82857e-05,4.82857e-05,4.82857e-05
